id_vei,id_uo_vei,id_motorista,id_uo_motorista,distancia_percorrida_km,qtd_banguela,qtd_curvas,qtd_aceleracoes,qtd_frenagens,qtd_vel_faixa_1,qtd_vel_faixa_2,qtd_vel_faixa_3,tempo_vel_faixa_1,tempo_vel_faixa_2,tempo_vel_faixa_3,qtd_vel_via_faixa_1,qtd_vel_via_faixa_2,qtd_vel_via_faixa_3,tempo_vel_via_faixa_1,tempo_vel_via_faixa_2,tempo_vel_via_faixa_3,qtd_manuseio_celular,qtd_fadiga_motorista,qtd_distracao_motorista,qtd_uso_cigarro,score_geral,rank
68832,3905,394883.0,3905.0,176.485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,otimo
62660,3880,480793.0,3880.0,160.778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,otimo
7899,2867,637041.0,2950.0,415.32,0.0,0.0,0.0,1.0,1.0,1.0,0.0,10.0,29.0,0.0,13.0,2.0,2.0,312.0,0.0,208.0,0.0,0.0,0.0,0.0,48.555330829240106,ruim
16223,2869,637025.0,2950.0,233.604,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.15775414804541,bom
40883,2877,400949.0,1146.0,68.617,0.0,0.0,0.0,0.0,5.0,0.0,0.0,11.0,0.0,0.0,5.0,0.0,0.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,ruim
21516,2868,636825.0,2950.0,431.19,0.0,0.0,0.0,18.0,6.0,0.0,0.0,28.0,0.0,0.0,2.0,2.0,2.0,104.0,208.0,416.0,0.0,0.0,0.0,0.0,24.953036944270504,pessimo
62658,3880,480793.0,3880.0,40.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,otimo
7628,3581,636640.0,2950.0,703.589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,otimo
62872,3923,394925.0,3923.0,97.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,otimo
12435,3581,636767.0,2950.0,405.265,1.0,0.0,0.0,1.0,1.0,0.0,0.0,11.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.25381746100288,otimo
68469,93,636549.0,2950.0,548.405,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,4.0,0.0,520.0,416.0,0.0,0.0,0.0,0.0,30.0,pessimo
62649,3894,394812.0,3894.0,122.926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,otimo
52759,3581,636635.0,2950.0,503.291,2.0,0.0,0.0,9.0,4.0,0.0,0.0,22.0,0.0,0.0,5.0,0.0,0.0,624.0,0.0,0.0,0.0,0.0,0.0,0.0,39.10636854887795,pessimo
52760,3581,636961.0,2950.0,825.14,10.0,0.0,0.0,17.0,6.0,0.0,0.0,238.0,0.0,0.0,3.0,1.0,1.0,312.0,0.0,0.0,0.0,0.0,0.0,0.0,58.075801278166935,ruim
52751,2869,636897.0,2950.0,264.15,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,5.0,0.0,0.0,1031.0,0.0,0.0,0.0,0.0,47.72856331629756,ruim
62914,4263,420106.0,4263.0,126.97,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.8234228557927,bom
62914,4263,420097.0,4263.0,52.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,otimo
62607,3881,394853.0,3881.0,40.078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,otimo
9618,3327,636589.0,2950.0,503.666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,48.0,3913.0,0.0,0.0,0.0,0.0,50.0,ruim
62873,3923,606025.0,3923.0,184.415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,otimo
8418,2871,636621.0,2950.0,527.718,17.0,0.0,0.0,1.0,2.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,1.0,442.0,0.0,0.0,0.0,0.0,0.0,0.0,57.797485273068816,ruim
9853,2868,636811.0,2950.0,167.55,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.25693822739481,bom
